shiptype,count,mean,median,std,min,max
Cargo,189669,11.534508538559281,11.2,3.1374804430890757,0.0,85.7
Dredging,5413,8.298891557361907,8.3,3.3838556684679917,0.0,26.8
Fishing,23749,7.295380858141395,7.4,4.415558986380879,0.0,83.7
HSC,3753,28.253397282174262,34.5,10.517947895273057,0.0,41.4
Law enforcement,1635,15.93223241590214,19.2,6.6107878597864795,0.0,45.5
Military,6847,11.95668175843435,11.7,5.324306263823947,0.0,39.1
Passenger,17689,14.907586635762337,16.3,4.5785498363930905,0.0,79.7
Pilot,3915,15.751340996168583,16.8,5.755529665650635,0.0,44.7
Pleasure,3882,7.184595569294178,0.1,13.20103724672207,0.0,98.4
Port tender,243,7.004526748971193,4.5,11.336123971472599,0.0,54.3
Reserved,771,13.303372243839169,7.4,22.232838448932224,0.0,100.0
SAR,1853,28.086076632487856,17.3,30.671623330717665,0.0,100.0
Sailing,2429,2.5987649238369697,0.1,5.390074787696088,0.0,83.8
Tanker,78486,11.698473613128456,12.0,2.255540352373593,0.0,19.7
Towing,1034,6.294390715667311,6.3,2.5057779245021763,0.0,12.0
Towing long/wide,586,6.6160409556314,6.6,1.5703825082607732,0.0,11.3
Tug,9925,8.054055415617128,8.6,3.0748005389693014,0.0,28.3
